edge_id,from_node_id,to_node_id,relationship,observation_id,cell_id,evidence_basis
edge:c4a9eed82d0c716ef665,observation:c8d559d64c4d785c41a3,indicator_cell:9f4335805533dc1644dc,observation_materializes_cell,1721995859418ecf608c,3087bf08970908c509ca,H6 stable cell_id
edge:c6fd3b3ba2ab84a177ae,observation:864f2c2d1b88e471e06c,indicator_cell:f70883b0424bebcca783,observation_materializes_cell,49b82f2b710bfb946f9f,e4982bb0d13ac08094aa,H6 stable cell_id
edge:cb3b0bc6bb10cbc7a1af,observation:4d4d1e51259f85b21f1d,indicator_cell:e30254e6593a5ad1768e,observation_materializes_cell,e06e475e6f5cb8748897,4aab4307f4906503d2a4,H6 stable cell_id
edge:cc77a66c956ab4f1ab7e,observation:1b7b7decaafba2e44741,indicator_cell:aab555ad4759ae18ba76,observation_materializes_cell,f831d08aa91c95864cd0,05ae4dff5d60b5021813,H6 stable cell_id
edge:d46fd9ade8f77a02e18a,observation:fd786e62692104822637,indicator_cell:7893e69f53cf7b6d0284,observation_materializes_cell,87cdfc70ee6d45666fec,425bfdd5ca02ab3e3cc1,H6 stable cell_id
edge:e2b93b6060b08a415bc7,observation:4451fa83b206a52cd53e,indicator_cell:feb2ac97cbf469e6c701,observation_materializes_cell,463dda3fe5140e2fbed2,7c1c5248808f73b2f3a6,H6 stable cell_id
edge:e3f0ce5d4bc903d0bfbf,observation:e36405cf00bd435e3d3d,indicator_cell:c4a866eca4b16dd78a5b,observation_materializes_cell,74fed6e1c3d917191be6,53b2a1ef09a68d6c5173,H6 stable cell_id
edge:e4022255048e6dabb39d,observation:c0e44bfaff03fb3d0e85,indicator_cell:ae652356f54e9da22915,observation_materializes_cell,69a1ecde0bf18c3a84ae,af12d1ae8c1555d899be,H6 stable cell_id
edge:e736654947ee5cc84e48,observation:cc516c3714c088b54218,indicator_cell:f70883b0424bebcca783,observation_materializes_cell,f4b6cbcb460eaef0f82e,e4982bb0d13ac08094aa,H6 stable cell_id
edge:e92e4c71290275321795,observation:96242f6669896b9035de,indicator_cell:9f4335805533dc1644dc,observation_materializes_cell,df8ae4a2843995c9185d,3087bf08970908c509ca,H6 stable cell_id
edge:eb7d64db01163db05a6d,observation:667f983b01d3cdf7458e,indicator_cell:932a2e3f54ff599be81b,observation_materializes_cell,9fcd6d7d4f2e24e56db1,1c03a76cb6a98f53235d,H6 stable cell_id
edge:f68153b64c023f03e6f0,observation:1ecfe2896341b81743b9,indicator_cell:55e36c8d23c81a7e5e6f,observation_materializes_cell,edde0b27f2f31f5fb962,5b5eeef107bb6f124496,H6 stable cell_id
edge:f6af64e78d995a29282f,observation:3b1d7e44c2f83aa6fe02,indicator_cell:44587469161d5e598f2a,observation_materializes_cell,deabb3549fa520121850,71a013b45f47a8aefa7d,H6 stable cell_id
edge:fb10d1507128aa608d3b,observation:3a58dba97aae26b9300b,indicator_cell:feb2ac97cbf469e6c701,observation_materializes_cell,cb0d5147421c66597d95,7c1c5248808f73b2f3a6,H6 stable cell_id
edge:048fbdc25d74ce26cc11,source_record:d3ee5d39849b0096d5ce,observation:6e3265bf4a2eadf39698,record_sources_observation,4af2e0e7825c9f2ac443,71a013b45f47a8aefa7d,H6 source_record_id carried by the observation
edge:07f59118e26bcad9d3e2,source_record:1aa22f2b385a01569fc4,observation:3b1d7e44c2f83aa6fe02,record_sources_observation,deabb3549fa520121850,71a013b45f47a8aefa7d,H6 source_record_id carried by the observation
edge:0e1d7a5514f63e18e083,source_record:a98acfe4bec18f9a0390,observation:0970843830c2ae7c8503,record_sources_observation,f2b9db071dd4766d6307,e4982bb0d13ac08094aa,H6 source_record_id carried by the observation
edge:10da89b600811e81bd44,source_record:423572d2616d043c15d1,observation:864f2c2d1b88e471e06c,record_sources_observation,49b82f2b710bfb946f9f,e4982bb0d13ac08094aa,H6 source_record_id carried by the observation
edge:12982ed0711af4db7b80,source_record:294fa03a900a59c6bcc9,observation:ea029425bb6e7db0f2d4,record_sources_observation,27f750d142897641b3b1,e33e2f8351747300cba7,H6 source_record_id carried by the observation
