indicator_key,domain,indicator_name,rank,match_score,webapi_domain_id,webapi_variable_id,webapi_title,subject_id,subject_name
sdg08_gdp_per_capita_growth,economy,Laju pertumbuhan PDB atau PDRB per kapita,2,0.6052,0000,1216,Laju Pertumbuhan PDB Industri Manufaktur,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg08_gdp_per_capita_growth,economy,Laju pertumbuhan PDB atau PDRB per kapita,3,0.5978,0000,104,[Seri 2010] Laju Pertumbuhan PDB Seri 2010,11,Produk Domestik Bruto (Lapangan Usaha)
sdg08_gdp_per_capita_growth,economy,Laju pertumbuhan PDB atau PDRB per kapita,4,0.5942,0000,108,[Seri 2010] 4. Laju Pertumbuhan PDB menurut Pengeluaran,169,Produk Domestik Bruto (Pengeluaran)
sdg08_gdp_per_capita_growth,economy,Laju pertumbuhan PDB atau PDRB per kapita,5,0.5889,0000,1161,Laju Pertumbuhan PDB Per Tenaga Kerja/Tingkat Pertumbuhan PDB Riil Per Orang Bekerja Per Tahun,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg08_productivity_growth,economy,Laju pertumbuhan PDB riil per tenaga kerja,1,0.8588,0000,1161,Laju Pertumbuhan PDB Per Tenaga Kerja/Tingkat Pertumbuhan PDB Riil Per Orang Bekerja Per Tahun,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg08_productivity_growth,economy,Laju pertumbuhan PDB riil per tenaga kerja,2,0.5476,0000,9,Laju Pertumbuhan PDB Menurut Lapangan Usaha,11,Produk Domestik Bruto (Lapangan Usaha)
sdg08_productivity_growth,economy,Laju pertumbuhan PDB riil per tenaga kerja,3,0.5329,0000,1216,Laju Pertumbuhan PDB Industri Manufaktur,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg08_productivity_growth,economy,Laju pertumbuhan PDB riil per tenaga kerja,4,0.5256,0000,104,[Seri 2010] Laju Pertumbuhan PDB Seri 2010,11,Produk Domestik Bruto (Lapangan Usaha)
sdg08_productivity_growth,economy,Laju pertumbuhan PDB riil per tenaga kerja,5,0.5223,0000,108,[Seri 2010] 4. Laju Pertumbuhan PDB menurut Pengeluaran,169,Produk Domestik Bruto (Pengeluaran)
sdg08_unemployment,economy,Tingkat Pengangguran Terbuka (TPT),1,0.7666,0000,543,Tingkat Pengangguran Terbuka Menurut Provinsi,6,Tenaga Kerja
sdg08_unemployment,economy,Tingkat Pengangguran Terbuka (TPT),2,0.7432,0000,2562,Tingkat Pengangguran Terbuka menurut Provinsi (Triwulanan),6,Tenaga Kerja
sdg08_unemployment,economy,Tingkat Pengangguran Terbuka (TPT),3,0.7343,0000,1180,Tingkat Pengangguran Terbuka Berdasarkan Kelompok Umur,6,Tenaga Kerja
sdg08_unemployment,economy,Tingkat Pengangguran Terbuka (TPT),4,0.7294,0000,1179,Tingkat Pengangguran Terbuka Berdasarkan Tingkat Pendidikan,6,Tenaga Kerja
sdg08_unemployment,economy,Tingkat Pengangguran Terbuka (TPT),5,0.7293,0000,1178,Tingkat Pengangguran Terbuka Berdasarkan Daerah Tempat Tinggal,6,Tenaga Kerja
sdg08_labor_force_participation,economy,Tingkat Partisipasi Angkatan Kerja (TPAK),1,0.7937,0000,2200,Tingkat Partisipasi Angkatan Kerja Menurut Jenis Kelamin,40,Gender
sdg08_labor_force_participation,economy,Tingkat Partisipasi Angkatan Kerja (TPAK),2,0.5400,0000,2396,Persentase Angkatan Kerja Terhadap Penduduk Usia Kerja (TPAK) menurut Provinsi,6,Tenaga Kerja
sdg08_labor_force_participation,economy,Tingkat Partisipasi Angkatan Kerja (TPAK),3,0.5350,0000,714,Persentase Angkatan Kerja Terhadap Penduduk Usia Kerja (TPAK) Menurut Golongan Umur,6,Tenaga Kerja
sdg08_labor_force_participation,economy,Tingkat Partisipasi Angkatan Kerja (TPAK),4,0.5350,0000,2518,Persentase Angkatan Kerja Terhadap Penduduk Usia Kerja (TPAK) Menurut Kelompok Umur,6,Tenaga Kerja
sdg08_labor_force_participation,economy,Tingkat Partisipasi Angkatan Kerja (TPAK),5,0.4300,0000,2395,Bukan Angkatan Kerja (BAK) menurut Provinsi,6,Tenaga Kerja
sdg08_informal_employment,economy,Proporsi pekerja informal terhadap total pekerja,1,0.6978,0000,1190,Jumlah Pekerja Pada Industri Pariwisata Dalam Proporsi Terhadap Total Pekerja,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg08_informal_employment,economy,Proporsi pekerja informal terhadap total pekerja,2,0.5433,0000,1192,Proporsi Kredit UMKM Terhadap Total Kredit,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg08_informal_employment,economy,Proporsi pekerja informal terhadap total pekerja,3,0.5339,0000,1814,Proporsi Komuter (Pekerja Ulang Alik) Terhadap Jumlah Penduduk menurut Wilayah,6,Tenaga Kerja
